あき 秋
あつい 暑い
いえ house
いぬ 犬
うさぎ rabit
うるさい noisy
え 画
えほん 絵本　
おちゃ 茶
おにぎり 饭团
おもしろい 面白い
かに crab
かみ 纸
かわい 可愛
かんたん 簡単
き 木
きもの 着物
きれい 綺麗
くま bear
くるま 車
けむし 毛虫
げんき 元気
こうちゃ 紅茶
こども kid
さかな 魚
さむい 寒
さる monkey
しゃしん 写真
しゃしん 写真
しろ castle
じしょ 辞書
じつ 実
じどうしゃ 自動車
じゃあ,またね see you again
せんす fan
せんぱい 先輩
そら sky
たぬき 狸猫
つり 釣り
てんし 天使
でも 但是
とけい 時計
とても very
なつ 夏
にじ teeth
ぬの 布
ぬりえ 塗り絵
ねこ 猫
のうふ tofu
はな 花, 鼻
はる 春
ひこうき 飛行機
ふうりん 風鈴
ふゆ 冬
へや 部屋
ほん 本
ぼうし 帽子
まくら 枕
みかん 橘子
みず 水
むしば 虫歯
もり forest
やかん 夜間
ゆかた 浴衣
ゆき 雪
ゆめ 夢
ようかい 妖怪
よる 夜
らくだ 駱駝
らっかせい 落花生
りんご apple
れいぞうこ 冷蔵庫
ろうそく candle
わに crocodile
イルカ dolphin
カナダ Canada
コーヒー coffee
コーラ 可乐
サンドイッチ sandwich
スイカ watermelon
ヌートリア 海狸鼠, Nutria
ハローキテイ HelloKitty
ペン pen
ホワイトハウス white house
モントリオール Montreal
ラジオ radio
レコー record, 唱片
